city,country_code,latitude,longitude
eitting,DE,48.358828,11.8908175
el prat del llobregat,ES,41.3426158,2.0746927
ellerau,DE,53.7500324,9.9166665
ellhofen,DE,49.1467,9.32194
elmenhorst/lichtenhagen,DE,54.1509015,11.9998073
eltville am rhein,DE,50.0220051,8.1044149
emsbüren,DE,52.3927616,7.2959699
ensisheim,FR,47.8665246,7.3529099
erftstadt,DE,50.8027168,6.8031625
erfurt,DE,50.9777974,11.0287364
ergué-gabéric,FR,47.9965297,-4.026792
erlenbach,DE,49.1703333,9.2692171
erlensee,DE,50.1624394,8.9846455
erxleben,DE,52.2194409,11.2425223
eschweiler,DE,50.8175029,6.2630894
essen,DE,51.4582235,7.0158171
euskirchen,DE,50.6612623,6.7871219
feignies,FR,50.2954202,3.914409
ferentino,IT,41.692932,13.2534215
feyzin,FR,45.6738,4.85831
flensburg,DE,54.7833021,9.4333264
florange,FR,49.3278069,6.122827
flörsheim am main,DE,50.0296,8.4265
fos-sur-mer,FR,43.4380714,4.945595
frankenthal,DE,49.5353466,8.3541391
frechen,DE,50.9096219,6.8081935
friedenweiler,DE,47.917078,8.2571947
frouard,FR,48.7601755,6.1293789
fuenlabrada,ES,40.282476,-3.7923422
fuldatal,DE,51.3781639,9.533699
fót,HU,47.6125871,19.1980105
fürth,DE,49.4885711,10.9587203
gadki,PL,51.4467709,19.4821376
garons,FR,43.7694841,4.4268453
gattatico,IT,44.7956839,10.4445566
gdańsk,PL,54.4288032,18.798327
geertruidenberg,NL,51.6961662,4.8778438
geiselhöring,DE,48.8258853,12.3926046
geisenfeld,DE,48.6842075,11.6134032
gelida,ES,41.4408877,1.8634309
gelnhausen,DE,50.1995532,9.1713202
gelsenkirchen,DE,51.5110321,7.0960124
gent,BE,51.0538286,3.7250121
gentofte,DK,55.7535946,12.541436
georgsmarienhütte,DE,52.2,8.05
gerichshain,DE,51.3566741,12.5841527
gernsheim,DE,49.7466,8.5112
gerstungen,DE,50.9364322,10.2024159
giora/vigonza,IT,45.4237175,11.9547291
glinojeck,PL,52.819174,20.2862655
gliwice,PL,50.294113,18.6657306
gniezno,PL,52.5246502,17.5981524
gorzkowice,PL,51.2151631,19.5959459
gostyń,PL,51.8778633,17.0167637
gozdnica,PL,51.4533841,15.0815671
grand-fougeray,FR,47.7234217,-1.7323074
granollers,ES,41.6079555,2.2876008
grasse,FR,43.6589011,6.9239103
grevenbroich,DE,51.0862467,6.5848937
grodzisk mazowiecki,PL,52.1066223,20.6313441
gronau,DE,52.0843618,9.7754675
groningen,NL,53.2190652,6.5680077
groß-gerau,DE,49.9192586,8.485312
großbreitenbach,DE,50.5806039,11.004454
großsteinberg,DE,51.2524724,12.6385366
grâce-hollogne,BE,50.6323039,5.4768436
grünhainichen,DE,50.7676913,13.1535581
gyál,HU,47.3845453,19.2173066
góra,PL,51.6681499,16.5393277
górażdże,PL,50.5281394,18.0099308
głogów,PL,51.6636791,16.0935567
hagenow,DE,53.4305796,11.1904828
halle,DE,51.4824354,11.9712985
hambach,FR,49.0613593,7.0372308
hamburg,DE,53.550341,10.000654
hamm,DE,51.681281,7.8191185
hammersbach,DE,50.2302967,8.9970268
handewitt,DE,54.7674684,9.3257408
hannover,DE,52.3744779,9.7385532
hardenberg,NL,52.5754706,6.6188242
hartheim am rhein,DE,47.9346289,7.6277434
hausach,DE,48.2836305,8.174972
heddesheim,DE,49.5054905,8.6024574
heilbronn,DE,49.142291,9.218655
heimsheim,DE,48.8058986,8.8619207
heinsdorfergrund,DE,50.6222,12.3722
hengelo,NL,52.2658726,6.7924049
henstedt-ulzburg,DE,53.7926888,9.9808134
herne,DE,51.5380394,7.219985
herrenberg,DE,48.5963819,8.8702368
herrieden,DE,49.2330769,10.4976384
hesdin,FR,50.3738145,2.038979
hillerød,DK,55.9285735,12.3063909
hilter,DE,52.1702035,8.1686187
hochdorf,CH,47.1665361,8.2899709
hohenwestedt,DE,54.0954806,9.6536804
holzgerlingen,DE,48.6392119,9.0115732
holzminden,DE,51.8989989,9.5741099
hombourg,FR,47.758716,7.5063314
horice,CZ,50.3665337,15.6321735
horni pocernice,CZ,50.1162631,14.6208058
hostivice,CZ,50.0815167,14.2585743
hrádek,CZ,48.7731024,16.2717745
hénin-beaumont,FR,50.4191721,2.9469339
hénonville,FR,49.2081637,2.0522538
höchst im odenwald,DE,49.7891138,8.9789625
hückelhoven,DE,51.0552368,6.2247322
hürth,DE,50.8807379,6.876568
ibi,ES,38.623288,-0.5730513
illingen,DE,48.9557335,8.9200047
ilshofen,DE,49.170072,9.9186069
iphofen,DE,49.7042096,10.2607784
ipsheim,DE,49.526325,10.4840007
issenheim,FR,47.9024133,7.253469
itingen,CH,47.4665362,7.7877841
jablonné v podještědí,CZ,50.7657554,14.7614324
jarocin,PL,51.9739233,17.5011254
jarosty,PL,51.4617352,19.6822993
jasień,PL,51.7515442,15.0123351
jastrowie,PL,53.4205494,16.8150156
jelcz-laskowice,PL,51.0398306,17.3499638
jelenia góra,PL,50.8501049,15.6537492
jessen,DE,51.7931158,12.9590741
jettingen-scheppach,DE,48.3954927,10.4409763
jirkov,CZ,50.5000597,13.4476266
jübar,DE,52.6879051,10.9097113
jülich,DE,50.9220931,6.3611015
kabelsketal,DE,51.4375947,12.1050069
kallo,BE,51.2519515,4.27803
kaltenkirchen,DE,53.8371714,9.9614889
kamp-lintfort,DE,51.5017981,6.547923
kampinos,PL,52.2700727,20.4617483
karlstein am main,DE,50.0443203,9.0337844
karsdorf,DE,51.2807821,11.6529692
kastellaun,DE,50.0713361,7.4422325
kaysersberg,FR,48.1571873,7.241094
kazimierz biskupi,PL,52.3119341,18.1675656
kałuszyn,PL,52.2087832,21.811881
kerpen,DE,50.3097609,6.7293316
kevelaer,DE,51.5802996,6.2456273
kiel,DE,54.3227085,10.135555
kiełmina,PL,51.86577,19.52899
kirkel,DE,49.2833031,7.2333295
klicany,CZ,50.20188,14.4342122
klipphausen,DE,51.0749571,13.5293546
kobierzyce,PL,50.9720586,16.9298119
koblenz,DE,50.3533278,7.5943951
konin,PL,52.2559021,18.2678662
kopanica,PL,52.0960339,15.9188019
kornwestheim,DE,48.8611498,9.1873875
kostrzyn nad odrą,PL,52.5898737,14.6536335
koszalin,PL,54.19092,16.17707
kościan,PL,52.0833694,16.6460888
kraków,PL,50.0619474,19.9368564
krefeld,DE,51.3331205,6.5623343
kremmen,DE,52.7604941,13.0294822
krosno,PL,49.6889843,21.7534788
krzemieniewo,PL,51.8582756,16.8338586
krzyżowniki,PL,51.1319402,17.8700732
kunheim,FR,48.0770555,7.5350089
kuřívody,CZ,50.5854951,14.8044892
kwidzyń,PL,53.7335842,18.9319222
köln,DE,50.938361,6.959974
königstein/sächsische schweiz,DE,50.9064119,14.0814102
københavn,DK,55.6867243,12.5700724
køge,DK,55.4565009,12.1818964
la chapelle-heulin,FR,47.1760091,-1.3404289
la ferté-gaucher,FR,48.7812807,3.305711
la maxe,FR,49.1693945,6.1896756
la sentinelle,FR,50.3496627,3.476136
la vancelle,FR,48.2869414,7.3047005
lagny-le-sec,FR,49.0859622,2.7442236
landsberg,DE,48.0497474,10.8768728
langenau,DE,48.4995693,10.1210951
langenbach,DE,49.4932546,7.3291716
langenfeld,DE,51.1008952,6.9459377
langenthal,CH,47.2116019,7.788786
langgöns,DE,50.4918436,8.629093
laronxe,FR,48.53973,6.6030702
lauenau,DE,52.2740961,9.3688859
le creusot,FR,46.8054064,4.4285961
le relecq-kerhuon,FR,48.4075514,-4.3965573
lebach,DE,49.4132377,6.9091348
ledro,IT,45.8864143,10.7153848
leeuwarden,NL,53.2005936,5.7918548
leipzig,DE,51.3406321,12.3747329
leipzig nord - seehausen,DE,51.4053353,12.4148504
lestrem,FR,50.6216212,2.6857534
leszno,PL,51.8436068,16.5804227
leuna,DE,51.3233566,12.0242496
leupoldsgrün,DE,50.2896281,11.7974729
liberec,CZ,50.7702648,15.0583947
lichtervelde,BE,51.0304268,3.1419584
lippstadt,DE,51.6747074,8.347194
lomme,FR,50.6457022,2.9870927
longueil-sainte-marie,FR,49.3576636,2.7176908
loon-plage,FR,50.9946103,2.2192457
lorsch,DE,49.6546967,8.5682813
lovosice,CZ,50.5150033,14.0517563
lubin,PL,51.3996783,16.1993379
ludres,FR,48.6217058,6.1609279
ludwigsfelde,DE,52.3016096,13.2610163
luebbenau,DE,51.8680114,13.9689477
lutherstadt wittenberg,DE,51.8666527,12.646761
löbichau,DE,50.8898529,12.2593586
löhne,DE,52.1990346,8.7141587
lübeck,DE,53.866444,10.684738
lübeck-travemünde,DE,53.9644481,10.8433282
lüneburg,DE,53.248706,10.407855
lünen,DE,51.6142482,7.5228088
maastricht,NL,50.8512438,5.6909768
madrid,ES,40.416782,-3.703507
malchow,DE,53.4775641,12.4245172
manerbio,IT,45.355777,10.13517
mannheim,DE,49.4892913,8.4673098
marktheidenfeld,DE,49.8444065,9.6003865
marl,DE,51.6485843,7.0829054
marquette-lez-lille,FR,50.6760968,3.0647175
massy,FR,49.6902106,1.399492
mataro,ES,41.5398348,2.4448926
mayen,DE,50.3283544,7.2215134
mechelen,BE,51.0281381,4.4803453
mechlin,PL,52.1108994,17.0757672
meckenheim,DE,50.6256627,7.0215612
mehring,DE,49.7980275,6.8253457
